date,ATVI,ADBE,ADP,ALGN,GOOGL,GOOG,AMZN,AMD,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ASML,AZN,TEAM,ADSK,BIDU,BIIB,BKNG,AVGO,CDNS,CHTR,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,FAST,FISV,FTNT,GILD,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KLAC,KHC,LRCX,LULU,MAR,MRVL,MTCH,MELI,META,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,OKTA,ODFL,PCAR,PANW,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TSLA,TXN,VRSN,VRSK,VRTX,WBA,WDAY,XEL,ZS
2019-01-02,45.854473,224.57,120.9883957,202.1199951,52.7340012,52.2924995,76.9564972,18.83,65.485146,172.905304,80.3656921,143.009995,38.1683464,32.0744972,150.5067749,34.044899,89.029999,128.96,162.25,304.690002,1721.6999512,221.5076904,43.2299995,287.98999,161.8557587,38.7366104,60.2846909,32.1942024,47.68,193.8354034,19.7579269,28.7950001,40.82,91.2,27.844934,79.6501694,27.7436256,23.448885,72.2099991,13.9359999,54.9063034,122.8247223,182.46,294.519989,43.0165062,189.9596252,155.343338,20.7465591,23.2213707,85.6388397,36.5783463,131.1339111,123.349998,105.3249283,16.1395893,51.467731,298.0100098,135.6799927,33.959465,32.6248703,97.35392,15.3299999,36.7360077,48.759998,42.847687,267.6600037,33.8141212,71.6788025,341.15,63.26,81.496185,51.8102264,61.0699997,58.8475075,85.75,98.1961746,22.21,53.443573,372.44,81.2920532,57.49,5.4924865,64.1865234,103.32,60.1223145,84.050003,65.2600021,20.6746655,86.0377197,147.76,106.1831894,164.08,59.5394478,159.74,44.1580282604,39.81
2019-01-03,44.226219,215.7,117.3347473,184.7799988,51.2734985,50.8030014,75.0139999,17.049999,65.332512,170.2743378,75.5112,137.639999,34.3665009,30.2159519,142.2062531,34.522247,84.480003,121.85,154.71,307.0,1663.1199951,201.8043365,41.5299988,287.5,159.2658844,37.3278427,58.3831673,32.4471054,46.889999,189.7269592,19.4485626,28.0650005,38.83,90.76,27.333401,78.005043,27.7751045,22.7829514,70.1100006,13.5139999,56.4728355,121.1849747,178.02,284.23999,40.6500397,184.1476288,150.080002,19.8491993,23.1382084,80.8345261,36.5530357,124.8095093,124.360001,99.7185822,15.4255333,49.543118,296.5899963,131.7400055,31.5654068,30.8815556,93.7724533,15.5,36.5978699,48.0,41.198982,271.2000122,31.7711716,68.7554626,346.13,59.56,78.504951,50.6103287,59.9000015,57.8526993,82.09,97.2796478,21.52,51.860752,372.08,80.6128311,56.37,5.5297251,57.3485413,100.81,57.5144005,81.110001,65.0199966,20.0240002,80.9638367,142.59,102.9385605,163.73,58.9181442,154.02,43.984033541,39.32
2019-01-04,45.990974,226.19,122.0110474,186.7100067,53.9034996,53.5354996,78.7695007,19.0,65.934036,176.0949249,77.3444901,143.660004,35.83358,32.2852669,148.359436,35.2878,87.089996,128.28,160.95,318.329987,1717.5500488,203.7877502,43.2599983,302.73999,166.7551727,39.0092773,60.8675613,33.5430412,48.560001,195.2364502,20.0258331,29.0599995,40.9,92.89,27.960754,83.6638947,28.0898666,23.7179909,73.2200012,13.382,59.0692978,125.4241562,187.43,302.690002,43.1444206,191.4541473,157.226669,21.7219486,23.6187115,86.006218,37.5489273,130.906311,128.550003,105.6679611,15.8852644,52.255856,315.3299866,137.9499969,32.8457375,32.5750618,98.1337509,16.9599991,37.6108932,49.790001,42.849552,297.5700073,33.806675,72.0800323,341.82,63.15,81.212242,52.8578911,61.4633331,59.8694496,86.27,99.2744827,22.69,52.698715,397.55,82.8057098,59.54,5.7438378,60.096962,108.04,59.4212723,83.900002,67.4899979,21.1793327,84.6257858,148.97,107.4829941,172.7,60.8782921,163.35,44.4144415311,41.77
2019-01-07,47.287735,229.26,121.3509521,189.9199982,53.7960014,53.4194984,81.475502,20.57,65.565948,178.4645996,77.8308792,147.320007,35.7538261,32.8600922,151.7489471,34.92754,92.709999,132.72,162.6,322.399994,1711.8199463,207.9381256,43.4199982,301.470001,167.0354462,39.2728462,60.7719994,33.1870956,48.830002,195.9558868,19.9173908,32.4874992,41.69,97.96,28.443335,86.8054962,28.1402321,23.8913136,73.0699997,14.0179996,59.337574,126.1229095,186.89,307.890015,43.3454285,194.3747559,159.479996,22.1998901,23.9144058,87.2308197,38.2578812,132.0726013,134.100006,105.8639908,16.2471828,51.693317,328.9400024,138.0500031,33.8071671,33.8700943,98.2588882,16.2700005,37.8687477,49.73,44.666115,315.3399963,35.5964165,72.6150208,339.69,66.27,82.149887,52.7952042,62.4500008,59.5529175,86.93,98.4208221,23.21,52.54974,396.63,86.2891083,62.92,5.7903848,60.9092064,112.9,59.4212723,85.760002,68.4400024,22.3306656,86.0832825,151.4,107.5904846,175.85,61.2283134,163.5,44.222131578,43.56
2019-01-08,48.720993,232.68,122.066803,192.9499969,54.2685013,53.8139992,82.8290024,20.75,66.37397,180.7531738,79.7296295,148.050003,36.4354019,31.5284271,150.6319275,34.342113,94.82,133.87,163.4,324.440002,1686.9200439,206.2692566,43.6699982,300.709991,168.842514,39.5909576,61.4599915,33.4587364,49.630001,197.4232025,20.2044315,32.8800011,42.08,98.6,28.954874,88.2226868,28.5746098,24.511631,73.5500031,14.3100004,58.9308014,125.8620377,189.29,293.75,43.6195374,199.0341492,160.996674,22.3852158,23.9236488,85.8460617,38.2916374,129.8348999,135.860001,107.5792313,16.3254375,52.904057,328.4899902,142.5299988,34.7257614,33.6110916,98.9713364,16.9500008,38.7528572,52.830002,45.210697,320.269989,34.7102394,73.0258179,336.07,68.9,84.586464,53.3056183,63.4766655,60.0051079,88.7,99.3643341,24.0,52.093517,397.26,88.8216019,67.23,5.9114056,61.5703392,115.09,59.4680023,86.099998,67.7699966,22.3566666,85.9739685,156.92,108.5482483,178.19,62.4534225,166.95,44.7349581194,43.98
2019-01-09,49.559498,235.43,122.1783752,200.3200073,54.0825005,53.7330017,82.9710007,20.190001,65.871208,180.5369415,81.7500305,150.639999,37.0541382,32.8600922,156.8813934,34.044899,95.809998,136.77,166.64,326.630005,1649.4899902,215.1903687,43.8499985,297.640015,170.3210754,39.3728256,61.4026642,33.7772102,50.299999,198.7011566,20.4053631,34.6875,42.67,97.17,29.23477,88.1137009,28.3416862,24.5800419,73.3199997,14.6160002,58.8009911,126.4490128,192.22,305.23999,43.8662262,198.4173431,172.369995,23.1070042,24.4595966,88.0598145,38.0890884,136.5385437,136.0,107.0303574,16.7166958,52.915478,339.9599915,144.2299957,36.1012726,35.3045921,100.3865967,16.3299999,38.6147156,53.330002,48.200382,319.9599915,35.3928757,76.3694839,343.54,68.78,84.626076,52.4997101,64.3700027,59.9689293,89.55,96.5877304,25.54,52.708027,399.58,87.6572342,69.38,5.6414371,63.9315376,115.91,59.7110329,86.959999,67.7200012,22.5686665,87.6682968,155.64,108.958725,182.3,63.2059708,166.18,44.3778110638,44.88
2019-01-10,50.066498,237.77,123.1452637,202.6399994,53.9415016,53.5164986,82.810997,19.74,67.083221,182.6182709,82.8817978,152.600006,37.1725655,33.3007736,156.582901,34.459198,95.5,136.71,168.35,331.190002,1677.3299561,218.0213623,44.3199997,292.670013,171.5096741,39.3001137,61.9282074,33.5524101,50.599998,199.4016724,20.6318035,35.4749985,44.03,96.41,29.505014,90.19487,28.8264256,24.8491554,74.3799973,14.6420002,58.8875313,128.3403168,192.72,309.769989,44.3687592,201.7462006,172.690002,22.8241405,24.2840271,88.2764664,38.4857559,137.0790253,131.610001,107.863472,16.7362614,52.921188,339.5899963,144.1999969,36.4677582,35.7727966,99.7415466,16.4799995,38.9922943,53.259998,47.586781,324.6600037,36.0506859,76.4554749,343.44,68.84,84.566635,52.9743004,65.3333359,60.9637413,90.7,97.1808014,26.38,52.884933,408.06,88.0356522,71.0,5.6507449,64.7815628,116.7,60.0008049,87.82,67.9599991,22.9979992,89.0164871,157.76,110.0825882,186.03,63.4247398,167.96,45.1195780255,45.41
2019-01-11,45.376728,237.55,122.3921814,198.25,53.2234993,52.8595009,82.0279999,20.27,66.831841,180.7081451,84.23806,154.75,36.8076096,33.3199348,156.0147705,33.279335,95.650002,136.74,166.11,333.209991,1665.8900146,218.9388275,44.4500008,294.540009,171.8092499,39.5273438,62.0333023,33.3744354,50.66,199.2786255,20.8008366,35.2750015,43.48,97.28,29.350586,89.8876419,28.8264256,25.0133572,74.0999985,14.6540003,58.9913902,127.9769516,192.91,307.070007,44.7068253,201.834259,168.440002,22.3169365,24.9493446,88.5779114,38.4942017,136.6428528,132.160004,107.2459793,16.9514561,52.30154,344.9500122,143.8000031,36.710495,35.8724136,98.9713364,17.0,38.8909912,54.369999,45.399078,337.5899963,36.9443245,75.9300461,338.73,68.41,84.414772,53.2250214,65.3233337,60.8552246,90.65,97.1897736,26.16,53.536674,408.63,88.5013885,71.41,5.6507449,66.132164,117.17,59.5708237,87.709999,69.0,23.1506653,89.8090057,157.93,109.4668961,188.16,62.7509384,167.46,45.1378932591,45.2
2019-01-14,46.107975,234.56,121.6949463,193.9400024,52.5755005,52.2345009,80.8604965,20.23,66.248283,177.3022766,81.8435516,153.600006,36.2541313,32.4385529,152.8081818,32.01841,93.709999,134.75,163.03,330.420013,1692.8800049,219.2009735,44.3800011,291.559998,170.7172852,39.2728462,61.7562065,33.5055733,49.919998,197.8491821,20.8167877,35.6850014,43.22,97.23,29.157555,87.7866516,28.3542709,24.6621475,73.8799973,14.4519997,58.2038002,128.2098694,189.79,299.190002,44.1768837,200.8552399,167.570007,21.4976101,24.348711,87.070694,39.0343513,133.1535492,139.729996,105.9816055,16.6677952,51.876072,339.769989,145.3899994,35.3349838,34.537529,98.2492905,16.7399998,39.1212349,54.150002,44.776154,332.9400024,37.3439713,75.0988998,341.15,70.48,83.146965,53.699604,64.9766693,60.8009529,90.43,96.4349899,24.37,53.350471,400.73,87.9386139,70.34,5.5390334,64.5548782,114.32,59.2343178,87.410004,67.9100037,22.2933331,87.7502899,157.0,108.6557465,183.91,61.8233681,163.33,44.8082190539,45.01
2019-01-15,45.669224,242.36,123.0243912,195.0500031,54.3255005,53.8574982,83.7279968,20.379999,67.675766,179.644928,81.9464493,156.160004,36.9961357,32.3331757,153.3281708,32.522781,95.379997,135.88,167.93,337.540009,1698.3100586,224.1114807,45.2700005,294.0,171.5676575,40.0090485,63.0557289,33.5617676,49.360001,199.7708893,20.7657547,36.7625008,44.99,95.95,29.60153,88.6884766,28.8264256,24.8993282,75.0400009,14.9259996,59.3029671,128.3589478,196.01,305.480011,44.4053078,205.4176636,171.820007,21.7024403,24.5520039,87.1554565,39.5913811,132.7458038,141.130005,107.9908829,16.4721584,54.534554,350.1000061,148.9499969,35.7014656,33.8601379,101.0990372,16.5900002,39.5448494,54.759998,46.070492,354.6400146,37.2024803,74.5830078,344.15,72.44,83.107353,53.3414383,66.7233353,61.6239357,91.6,97.9355927,24.41,51.88868,405.02,88.152092,72.01,5.5669613,64.6493225,117.88,59.8979797,88.470001,67.1399994,22.9619999,88.9345245,160.45,110.0630646,186.68,62.8209457,164.47,45.6873502677,45.32
