date,^IXIC
2019-01-02,6665.9399414
2019-01-03,6463.5
2019-01-04,6738.8598633
2019-01-07,6823.4702148
2019-01-08,6897.0
2019-01-09,6957.0800781
2019-01-10,6986.0698242
2019-01-11,6971.4799805
2019-01-14,6905.9199219
2019-01-15,7023.8300781
2019-01-16,7034.6899414
2019-01-17,7084.4599609
2019-01-18,7157.2299805
2019-01-22,7020.3598633
2019-01-23,7025.7700195
2019-01-24,7073.4599609
2019-01-25,7164.8598633
2019-01-28,7085.6801758
2019-01-29,7028.2900391
2019-01-30,7183.0800781
2019-01-31,7281.7402344
2019-02-01,7263.8701172
2019-02-04,7347.5400391
2019-02-05,7402.0800781
2019-02-06,7375.2797852
2019-02-07,7288.3500977
2019-02-08,7298.2001953
2019-02-11,7307.8999023
2019-02-12,7414.6201172
2019-02-13,7420.3798828
2019-02-14,7426.9501953
2019-02-15,7472.4101562
2019-02-19,7486.7700195
2019-02-20,7489.0698242
2019-02-21,7459.7099609
2019-02-22,7527.5400391
2019-02-25,7554.4599609
2019-02-26,7549.2998047
2019-02-27,7554.5097656
2019-02-28,7532.5297852
2019-03-01,7595.3500977
2019-03-04,7577.5698242
2019-03-05,7576.3598633
2019-03-06,7505.9199219
2019-03-07,7421.4599609
2019-03-08,7408.1401367
2019-03-11,7558.0600586
2019-03-12,7591.0297852
2019-03-13,7643.4101562
2019-03-14,7630.9101562
2019-03-15,7688.5297852
2019-03-18,7714.4799805
2019-03-19,7723.9501953
2019-03-20,7728.9702148
2019-03-21,7838.9599609
2019-03-22,7642.6699219
2019-03-25,7637.5400391
2019-03-26,7691.5200195
2019-03-27,7643.3798828
2019-03-28,7669.1699219
2019-03-29,7729.3198242
2019-04-01,7828.9101562
2019-04-02,7848.6899414
2019-04-03,7895.5498047
2019-04-04,7891.7797852
2019-04-05,7938.6899414
2019-04-08,7953.8798828
2019-04-09,7909.2797852
2019-04-10,7964.2402344
2019-04-11,7947.3598633
2019-04-12,7984.1601562
2019-04-15,7976.0097656
2019-04-16,8000.2299805
2019-04-17,7996.0800781
2019-04-18,7998.0600586
2019-04-22,8015.2700195
2019-04-23,8120.8198242
2019-04-24,8102.0097656
2019-04-25,8118.6801758
2019-04-26,8146.3999023
2019-04-29,8161.8500977
2019-04-30,8095.3901367
2019-05-01,8049.6401367
2019-05-02,8036.7700195
2019-05-03,8164.0
2019-05-06,8123.2900391
2019-05-07,7963.7597656
2019-05-08,7943.3198242
2019-05-09,7910.5898438
2019-05-10,7916.9399414
2019-05-13,7647.0200195
2019-05-14,7734.4902344
2019-05-15,7822.1499023
2019-05-16,7898.0498047
2019-05-17,7816.2797852
2019-05-20,7702.3798828
2019-05-21,7785.7202148
2019-05-22,7750.8398438
2019-05-23,7628.2797852
2019-05-24,7637.0097656
2019-05-28,7607.3500977
2019-05-29,7547.3100586
2019-05-30,7567.7202148
2019-05-31,7453.1499023
2019-06-03,7333.0200195
2019-06-04,7527.1201172
2019-06-05,7575.4799805
2019-06-06,7615.5498047
2019-06-07,7742.1000977
2019-06-10,7823.1699219
2019-06-11,7822.5698242
2019-06-12,7792.7202148
2019-06-13,7837.1298828
2019-06-14,7796.6601562
2019-06-17,7845.0200195
2019-06-18,7953.8798828
2019-06-19,7987.3198242
2019-06-20,8051.3398438
2019-06-21,8031.7099609
2019-06-24,8005.7001953
2019-06-25,7884.7202148
2019-06-26,7909.9702148
2019-06-27,7967.7597656
2019-06-28,8006.2402344
2019-07-01,8091.1601562
2019-07-02,8109.0898438
2019-07-03,8170.2299805
2019-07-05,8161.7900391
2019-07-08,8098.3798828
2019-07-09,8141.7299805
2019-07-10,8202.5302734
2019-07-11,8196.0400391
2019-07-12,8244.1396484
2019-07-15,8258.1904297
2019-07-16,8222.7998047
2019-07-17,8185.2099609
2019-07-18,8207.2402344
2019-07-19,8146.4902344
2019-07-22,8204.1396484
2019-07-23,8251.4003906
2019-07-24,8321.5
2019-07-25,8238.5400391
2019-07-26,8330.2099609
2019-07-29,8293.3300781
2019-07-30,8273.6103516
2019-07-31,8175.4199219
2019-08-01,8111.1201172
2019-08-02,8004.0698242
2019-08-05,7726.0400391
2019-08-06,7833.2700195
2019-08-07,7862.8300781
2019-08-08,8039.1601562
2019-08-09,7959.1401367
2019-08-12,7863.4101562
2019-08-13,8016.3598633
2019-08-14,7773.9399414
2019-08-15,7766.6201172
2019-08-16,7895.9902344
2019-08-19,8002.8100586
