date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DHR,DIS,DUK,EMR,EXC,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
2015-01-02,24.6440182,47.9017982,38.9610291,78.362648,72.34,46.2995377,2.67,130.0314331,85.9141769,15.4259996,83.1109543,112.786011,15.4562702,34.1670341,1142.0600586,299.860718,48.4299736,149.17,46.0412788,73.9591751,166.429993,58.0687637,24.7078438,71.9997025,53.7863274,119.3400345,59.24,21.832531,78.9859238,80.9852753,62.4178734,87.376266,61.2679291,49.3155327,20.446537,11.052874,159.3538971,117.4166107,167.3455811,73.88517,27.594938,26.1686535,26.4799995,170.9972992,88.40406,81.9274826,110.047363,29.6166229,85.4193115,51.2044067,32.8266754,59.0224419,158.857498,59.5446625,81.7830582,77.016388,31.4238281,60.8439026,37.272564,78.4499969,131.3399811,31.2415543,42.7626266,32.3927002,41.0133133,22.0771294,49.8485718,44.105824,4.8361859,39.3806229,75.4171448,22.5956459,72.7302628,54.5630493,59.920841,60.3691559,35.5257912,27.7913551,35.1823502,130.9017944,14.2354794,61.1586647,125.0969086,27.2999992,14.6206656,43.957119,89.5149155,100.5946426,87.4817505,35.5625381,62.8834229,33.4846344,61.4998512,44.0156441,72.5252838,65.3563843
2015-01-05,23.9497623,47.0003166,38.9697075,77.0395584,71.98,45.383606,2.66,128.4862366,84.6728973,15.1094999,80.9130325,112.004875,15.0072603,33.2887993,1097.5799561,292.102173,47.6731377,147.0,44.5902939,70.0551529,160.5,57.6398125,24.2039604,70.3413315,51.2265587,117.9832382,58.17,21.397625,78.2052078,77.7481537,61.7989464,86.099403,60.38591,48.3019333,19.8642178,10.621123,156.9051361,114.9656601,164.273819,75.3486938,27.190994,25.6231518,25.9750004,165.6582794,86.549309,80.3662262,108.315765,29.2826729,84.8227081,49.6147728,32.8266754,58.4411469,155.553894,58.1198044,79.4826813,76.16581,30.9540577,60.5899734,36.028076,77.1900024,128.3779449,31.0629253,43.398201,31.3801746,40.6361694,21.8432941,47.3114281,43.395706,4.7545033,38.828331,74.8501663,22.4730415,72.3844757,54.1522484,59.638489,59.3615837,34.8452759,26.8625298,35.0327072,131.4386292,14.1009836,60.0626526,123.378479,26.9300003,14.0059996,43.2749214,88.0404968,97.1937027,85.7302094,34.7057953,61.4953461,33.2065468,60.286026,42.8086281,72.3142242,63.5681152
2015-01-06,23.9520073,46.7676735,38.5271759,76.4838562,70.53,44.7399864,2.63,124.346756,84.4487762,14.7644997,79.1886292,110.685638,14.5582571,32.3261032,1079.9599609,287.563049,47.5917587,146.84,43.0205078,69.6043854,156.309998,57.034214,23.8882141,69.0320892,49.1116333,119.5423126,57.2,21.3897171,78.2633514,77.7121887,61.376606,85.642708,61.377285,48.2221146,19.7118359,10.520378,156.895874,115.1013794,160.7345734,76.0181885,27.602859,25.0292816,25.3299999,162.3071136,86.284332,80.1782303,105.979836,28.736927,84.4059143,48.3283081,33.0759468,58.7360153,154.82251,58.2517509,79.3108749,76.306175,30.7405205,60.2852554,34.935684,76.1500015,127.0090179,31.2479458,45.1030273,30.4764194,40.0397415,21.9281387,46.5014305,43.140453,4.6103539,38.427494,74.2831726,22.6605568,72.0547485,54.6169357,58.791435,58.5219688,34.5617371,25.8785191,35.4531517,135.0971527,14.1219969,60.0545082,122.226326,26.8700008,14.0853329,42.5598335,87.8628082,95.1837082,85.167511,34.2456894,61.0990982,33.5416832,60.4398003,41.9154549,72.87146,63.2301674
2015-01-07,24.2878685,48.6578674,38.8395538,78.0892181,71.11,44.9545364,2.58,128.6895294,85.336647,14.9209995,80.9180984,112.404106,14.6273298,32.9932365,1069.5699463,293.648834,48.2102547,148.88,43.419323,70.6830139,156.789993,57.4884262,23.8665886,69.8176193,49.4394112,121.6238556,56.93,21.5874023,79.675293,77.6474609,61.7479706,86.518814,61.5741005,48.1183624,19.7390423,10.822604,158.0509491,114.6603699,160.8013763,77.4427948,28.386992,24.9864006,25.2600002,164.7259216,89.241692,80.7585754,105.287193,29.3396835,86.269249,48.4020615,33.4888153,58.323204,156.819473,59.9844322,80.5445557,77.63575,31.7056866,61.7919579,35.398911,76.1500015,127.9296646,31.8221226,46.0675888,30.9115658,40.5484505,22.1288605,46.7428589,44.031563,4.5983405,38.4364014,76.4552917,22.9706726,72.4327087,55.0277367,59.477146,59.1569519,35.412365,26.3843231,35.8450966,137.5832367,14.2043324,62.327774,125.8878098,28.25,14.0633326,43.3242378,88.7599411,95.7095108,85.9600525,34.5471382,61.9176979,33.325222,61.9853821,42.1648979,74.8048935,63.8708649
2015-01-08,25.2210674,49.1667709,39.6378555,79.2799988,72.92,44.7564964,2.61,128.2259979,86.1296539,15.0229998,82.0651169,114.39167,14.929553,33.4492531,1082.8499756,297.078522,49.4146843,151.37,44.0726967,71.4074631,162.940002,58.2706184,24.3856239,70.4984283,50.6724777,122.6688309,58.59,21.753458,81.3696365,79.4242783,62.7018661,87.413536,61.8219337,49.3793907,19.8914318,11.096048,161.7472076,117.4251404,162.7378998,79.638092,28.672125,25.0651836,25.3449993,167.3558197,91.216095,82.2299118,107.575615,29.885416,86.9475479,49.4836769,33.8938828,59.7048302,160.353119,61.250946,81.7974014,77.924805,32.1071358,63.273243,35.938194,78.1750031,130.9957886,32.3580093,46.9947891,31.3718109,41.7413139,22.263361,47.7799988,45.047993,4.7713189,38.6679993,77.8448029,23.4394684,73.2610321,55.8560829,60.106365,60.1645012,35.983799,27.0740471,35.8735962,137.385498,14.3456526,62.6200371,127.1962738,29.0200005,14.0410004,44.0310898,92.9967346,99.2970581,87.5055389,34.8009987,62.7481728,34.0394974,62.7541237,43.0983276,76.3837357,64.9339828
2015-01-09,25.2481136,47.8218193,39.2213516,79.1918106,71.84,43.9973564,2.63,126.6482849,85.6900482,14.8465004,81.0256348,114.165985,14.6618729,32.959446,1051.9599609,293.556396,49.0891685,149.47,43.0884018,70.5542221,161.979996,57.6987038,24.3466911,69.2764816,50.664669,120.7811127,58.16,21.9748688,81.3281021,77.8416748,62.279541,87.842255,61.9094009,48.6052132,19.858778,10.944936,159.5479431,117.8576508,160.4674072,79.5680389,28.188978,24.7405758,25.0349998,164.7875214,89.651947,80.8648376,108.044151,29.9424458,85.7625427,48.6232986,33.5199776,58.9129219,160.262665,60.0987701,80.7549667,76.975098,31.7911129,62.9769936,35.274467,77.7399979,129.3866119,32.2814674,46.7779427,30.8613644,41.390461,22.0667725,47.0414276,44.55138,4.7905378,38.6501846,77.3177872,23.5476494,72.5774765,55.7079201,60.033768,59.8338928,34.806015,26.1636086,35.4175301,138.8333588,14.3028307,62.0517273,126.6884537,29.25,13.7773333,44.055748,92.1262894,97.5160065,86.8635712,34.079113,61.8180504,33.7364731,61.232811,42.3902016,75.4381027,64.8424454
2015-01-12,24.6259823,47.8072777,39.5510826,78.9536438,71.12,43.2051964,2.63,127.0467682,85.319397,14.5705004,80.2012177,113.584473,14.402832,32.4865494,1039.9799805,291.622986,50.6028595,148.28,42.7489777,69.9424744,163.850006,57.4127197,24.2947845,69.0058899,49.2208939,120.1069107,57.73,22.18046,80.7301102,76.1655731,61.5076752,88.037987,61.9677391,48.0225983,19.9349651,10.95213,159.4647522,116.9501801,160.1335297,78.7895584,28.386992,24.56007,24.8549995,162.7820892,89.250229,80.472496,106.231079,29.8121185,85.4683456,48.2054062,33.2161674,58.4832649,159.810699,59.6765938,79.7220917,76.809937,31.4921513,63.0362587,34.866543,76.7200012,128.6821442,32.4856148,46.583519,30.4345875,40.8729782,22.0109062,45.547142,44.491051,4.7304769,38.5432892,76.9983444,23.6341991,72.3121109,55.9301605,59.348076,60.0595474,34.9979553,25.9061108,35.4246483,138.9675751,14.3413715,62.2141151,125.4679413,29.2700005,13.4806662,43.6612282,91.0870667,96.6594086,86.8952637,33.7617989,61.6970406,33.96735,61.2570839,41.8832626,76.0038071,63.5962906
2015-01-13,24.8446369,46.4302635,38.9142914,79.2358932,70.59,42.8008766,2.66,126.1684341,84.3712082,14.7370005,79.9592896,113.844841,14.2042313,32.4274406,1037.8199463,292.505737,51.3678284,148.63,42.4435158,69.5238876,164.399994,57.8080368,24.5845795,68.4210739,48.7292213,118.9018021,57.97,22.2200012,80.7633362,74.9570618,61.4203072,88.718361,62.3030396,47.9507561,19.8696594,10.944936,158.4760284,116.8568649,159.3322144,75.6756744,27.919682,24.7410736,25.0900002,162.6589355,88.660477,81.0446854,106.4823,29.7306652,85.6154327,48.2136002,33.2083778,58.4495583,159.712112,59.6853981,79.9038162,76.661293,31.2871704,61.6142006,34.437889,76.4499969,128.5861359,32.7408066,46.5012817,30.150074,40.6624794,22.0978184,46.2557144,44.096535,4.7232685,38.2404404,76.9424133,23.3961926,72.6177063,55.9638405,58.864071,60.0018272,35.2771339,25.9245033,35.4032669,139.0593872,14.3413715,61.6620064,125.3117447,29.4699993,13.6166658,43.3899803,91.5489273,94.8444595,87.2677765,33.3968887,61.8773613,34.0394974,60.9010391,41.7223167,75.404335,63.3639641
2015-01-14,24.7499599,46.657341,38.6264153,78.3097305,69.99,42.3965454,2.63,126.1847458,83.836792,14.6634998,78.0237122,113.159203,13.8502026,31.6083145,1035.6700439,290.631104,51.229496,147.82,41.6204414,69.2824097,158.130005,57.5725288,24.1434021,66.9896698,48.8697014,117.4017258,57.25,22.0776634,80.8380508,74.741272,60.4518471,87.823624,62.4634171,47.5836258,20.0927906,10.872977,159.6311188,117.0102615,158.7980194,77.271553,27.167238,24.9749317,25.2950001,158.5249481,87.728806,80.6686935,105.796463,29.6084881,84.9943161,46.5502167,33.1538506,58.7696915,158.791687,59.2720032,79.8177338,75.595978,31.2188416,60.7507782,33.836384,76.2799988,127.9616318,33.0023727,46.8377609,29.4638824,40.3116341,22.2343903,46.3199997,43.493179,4.7424903,38.3562431,77.1979675,23.4250412,72.3683929,56.1793365,58.259064,59.5714951,35.0808258,25.0416546,35.7667007,140.2883301,14.272851,60.3467979,123.2222366,29.5699997,12.8459997,43.3242378,91.7798996,94.4458313,86.6812744,32.7940063,60.6387672,33.8879814,60.6825447,41.2395363,73.124733,63.1808891
2015-01-15,24.0782394,46.0640373,38.338562,77.7716751,70.29,41.5878944,2.52,123.5497665,82.9920044,14.3474998,76.9573593,112.950905,13.1248789,31.4563046,998.25,287.8573,50.1552734,147.58,40.0761185,68.430275,160.490005,57.4631767,24.2212601,67.1641998,47.9254036,117.4017258,55.11,21.6743851,80.7051773,73.8564301,59.7309761,87.935455,63.2433853,47.3920822,20.2832718,10.69308,160.647583,117.3169327,157.4624176,75.8235855,26.478159,25.0208054,25.2000008,156.9944611,86.335632,79.3771896,104.961227,29.4781532,83.7602921,45.0589027,33.0136223,58.7528419,158.085007,58.3572807,78.660553,75.463837,31.2102928,60.8608246,33.172653,74.0500031,127.8175583,33.4744759,46.2694778,28.9367085,39.8906174,22.1495495,46.2514305,43.07547,4.7088552,37.9732132,77.1979675,23.367342,72.2638474,55.7752686,57.581436,59.5714951,34.7144051,24.5266571,36.2014122,141.3053589,14.2428722,61.4347076,121.2010727,29.1800003,12.7913332,43.0612144,92.7835617,93.9708939,86.6178741,32.4766922,60.062191,33.9817696,60.5126038,40.8130455,73.7748337,62.6317329
